year	age	n
1993	53	54
1994	53	0
1995	53	17
1996	53	32
1997	53	17
1998	53	35
1999	53	37
2000	53	61
2001	53	29
2002	53	61
2003	53	78.5
2004	53	80
2005	53	42
2006	53	78.5
2007	53	39
2008	53	133
2009	53	37
2010	53	22
2011	53	61
2012	53	70
2013	53	88.5
2014	53	96
2015	53	124.5
2016	53	164
2017	53	289
2018	53	96
2019	53	335
2020	53	608.5
2021	53	608.5
2022	53	608.5
1989	52	17
1990	52	17
1991	52	57
1994	52	17
1995	52	84
1997	52	17
1998	52	36
1999	52	29
2000	52	70
2001	52	145
2002	52	39
2003	52	13
2004	52	28
2005	52	78.5
2006	52	128
2007	52	61
2008	52	50
2009	52	47
2010	52	32
2011	52	78.5
2012	52	54
2013	52	80
2014	52	47
2015	52	87
2016	52	177
2017	52	164
2018	52	231
2019	52	363
2020	52	608.5
2021	52	608.5
2022	52	608.5
1992	52	0
1993	52	0
1996	52	0
1989	51	37
1990	51	37
1991	51	54
1992	51	0
1993	51	53
1994	51	17
1995	51	32
1996	51	17
1997	51	0
1998	51	88.5
1999	51	42
2000	51	54
2001	51	76
2002	51	91
2003	51	39
2004	51	37
2005	51	64
2006	51	78.5
2007	51	47
2008	51	42
2009	51	54
2010	51	42
2011	51	64
2012	51	90
2013	51	47
2014	51	87
2015	51	87
2016	51	128
2017	51	266
2018	51	276
2019	51	181
2020	51	373
2021	51	327
2022	51	281
1989	50	35
1990	50	35
1991	50	35
1993	50	16
1994	50	16
1995	50	66
1996	50	32
1998	50	13
1999	50	64
2000	50	98
2001	50	90
2002	50	39
2003	50	13
2004	50	76
2005	50	120.5
2006	50	112
2007	50	96
2008	50	78.5
2009	50	23
2011	50	22
2012	50	96
2013	50	61
2014	50	64
2015	50	64
2016	50	170
2017	50	177
2018	50	177
2019	50	281
2020	50	388
2021	50	393
2022	50	321
1992	50	16
1997	50	13
2010	50	0
1989	49	48
1990	49	48
1992	49	30
1993	49	32
1994	49	16
1995	49	32
1996	49	81
1997	49	54
1998	49	40
1999	49	64
2000	49	88.5
2001	49	39
2002	49	50
2003	49	61
2004	49	78.5
2005	49	133
2006	49	157
2007	49	76
2008	49	116
2009	49	51
2010	49	42
2012	49	61
2013	49	76
2014	49	98
2015	49	96
2016	49	179
2017	49	116
2018	49	231
2019	49	308
2020	49	384
2021	49	359
2022	49	373
1991	49	0
2011	49	0
1989	48	37
1990	48	37
1991	48	0
1992	48	17
1993	48	76
1994	48	96
1995	48	42
1996	48	42
1997	48	57
1998	48	39
1999	48	153
2000	48	90
2001	48	37
2002	48	112
2003	48	42
2004	48	80
2005	48	98
2006	48	157
2007	48	77
2008	48	40
2009	48	42
2010	48	46
2011	48	71
2012	48	61
2013	48	76
2014	48	27
2015	48	98
2016	48	145
2017	48	271
2018	48	124.5
2019	48	239
2020	48	348
2021	48	608.5
2022	48	181
1989	47	32
1990	47	32
1992	47	50
1993	47	166
1994	47	40
1995	47	66
1996	47	54
1997	47	128
1998	47	61
1999	47	61
2000	47	87
2001	47	84
2002	47	66
2003	47	128
2004	47	54
2005	47	87
2006	47	77
2007	47	80
2008	47	42
2009	47	68.5
2010	47	23
2011	47	61
2012	47	87
2013	47	39
2014	47	96
2015	47	81
2016	47	153
2017	47	271
2018	47	157
2019	47	281
2020	47	340
2021	47	335
2022	47	340
1991	47	32
1989	46	17
1990	46	17
1992	46	54
1993	46	42
1994	46	42
1995	46	28
1996	46	39
1997	46	107
1998	46	78.5
1999	46	78.5
2000	46	71
2001	46	42
2002	46	91
2003	46	76
2004	46	64
2005	46	42
2006	46	133
2007	46	112
2008	46	46
2009	46	81
2010	46	36
2011	46	48
2012	46	53
2013	46	68.5
2014	46	54
2015	46	71
2016	46	157
2017	46	228
2018	46	159
2019	46	166
2020	46	179
2021	46	228
2022	46	228
1991	46	0
1989	45	16
1990	45	16
1991	45	51
1992	45	54
1993	45	120.5
1994	45	78.5
1995	45	76
1996	45	61
1997	45	23
1998	45	48
1999	45	153
2000	45	112
2001	45	67
2002	45	87
2003	45	53
2004	45	87
2005	45	70
2006	45	157
2007	45	78.5
2008	45	36
2009	45	76
2010	45	87
2011	45	66
2012	45	81
2013	45	128
2014	45	14
2015	45	91
2016	45	172
2017	45	157
2018	45	181
2019	45	120.5
2020	45	296
2021	45	234
2022	45	153
1989	44	81
1990	44	81
1991	44	13
1992	44	24
1993	44	88.5
1994	44	84
1995	44	84
1996	44	48
1997	44	61
1998	44	78.5
1999	44	133
2000	44	66
2001	44	87
2002	44	51
2003	44	87
2004	44	50
2005	44	96
2006	44	116
2007	44	61
2008	44	47
2009	44	47
2010	44	37
2011	44	39
2012	44	39
2013	44	42
2014	44	64
2015	44	64
2016	44	141
2017	44	225
2018	44	161
2019	44	96
2020	44	128
2021	44	141
2022	44	145
1989	43	68.5
1990	43	68.5
1991	43	80
1992	43	133
1993	43	98
1994	43	61
1995	43	61
1996	43	61
1997	43	67
1998	43	64
1999	43	157
2000	43	128
2001	43	116
2002	43	76
2003	43	47
2004	43	61
2005	43	76
2006	43	88.5
2007	43	57
2008	43	57
2009	43	128
2010	43	66
2011	43	96
2012	43	70
2013	43	76
2014	43	24
2015	43	13
2016	43	61
2017	43	168
2018	43	78.5
2019	43	32
2020	43	78.5
2021	43	172
2022	43	164
1989	42	27
1990	42	27
1991	42	78.5
1992	42	48
1993	42	71
1994	42	61
1995	42	164
1996	42	77
1997	42	76
1998	42	42
1999	42	39
2000	42	103
2001	42	40
2002	42	37
2003	42	40
2004	42	42
2005	42	98
2006	42	153
2007	42	56
2008	42	36
2009	42	53
2010	42	39
2011	42	112
2012	42	50
2013	42	37
2014	42	39
2015	42	61
2016	42	96
2017	42	91
2018	42	96
2019	42	128
2020	42	166
2021	42	155
2022	42	120.5
1989	41	53
1990	41	53
1991	41	36
1992	41	61
1993	41	120.5
1994	41	61
1995	41	78.5
1996	41	42
1997	41	137
1998	41	64
1999	41	76
2000	41	107
2001	41	47
2002	41	70
2003	41	84
2004	41	54
2005	41	42
2006	41	157
2007	41	24
2008	41	120.5
2009	41	112
2010	41	39
2011	41	87
2012	41	11
2013	41	54
2014	41	29
2015	41	30
2016	41	61
2017	41	77
2018	41	107
2019	41	30
2020	41	157
2021	41	98
2022	41	157
1989	40	61
1990	40	61
1991	40	46
1992	40	42
1993	40	116
1994	40	76
1995	40	39
1996	40	80
1997	40	76
1998	40	56
1999	40	91
2000	40	28
2001	40	61
2002	40	107
2003	40	42
2004	40	32
2005	40	32
2006	40	137
2007	40	64
2008	40	27
2009	40	81
2010	40	50
2011	40	24
2012	40	13
2013	40	29
2014	40	46
2015	40	15
2016	40	77
2017	40	90
2018	40	46
2019	40	15
2020	40	128
2021	40	76
2022	40	157
1989	39	64
1990	39	64
1991	39	32
1992	39	32
1993	39	124.5
1994	39	47
1995	39	78.5
1996	39	66
1997	39	66
1998	39	107
1999	39	28
2000	39	39
2001	39	51
2002	39	42
2003	39	54
2004	39	22
2005	39	47
2006	39	76
2007	39	53
2008	39	39
2009	39	50
2010	39	36
2011	39	78.5
2012	39	29
2013	39	0
2014	39	61
2015	39	15
2016	39	76
2017	39	61
2018	39	76
2019	39	54
2020	39	107
2021	39	161
2022	39	124.5
1989	38	116
1990	38	116
1991	38	61
1992	38	32
1993	38	141
1994	38	66
1995	38	64
1996	38	10
1997	38	30
1998	38	70
1999	38	40
2000	38	61
2001	38	84
2002	38	42
2003	38	32
2004	38	47
2005	38	76
2006	38	78.5
2007	38	39
2008	38	24
2009	38	48
2010	38	24
2011	38	42
2014	38	29
2016	38	29
2017	38	14
2018	38	39
2019	38	61
2020	38	61
2021	38	120.5
2022	38	177
2012	38	15
2013	38	61
2015	38	14
1989	37	107
1990	37	107
1991	37	54
1992	37	39
1993	37	91
1994	37	61
1995	37	19
1996	37	29
1997	37	37
1998	37	19
1999	37	29
2000	37	76
2001	37	54
2002	37	53
2003	37	120.5
2004	37	87
2005	37	24
2006	37	145
2007	37	76
2008	37	76
2009	37	39
2010	37	14
2011	37	29
2014	37	29
2015	37	42
2016	37	70
2017	37	24
2018	37	120.5
2019	37	29
2020	37	153
2021	37	76
2022	37	231
2012	37	0
2013	37	0
1989	36	22
1990	36	22
1991	36	76
1992	36	96
1993	36	141
1994	36	39
1995	36	70
1996	36	61
1997	36	61
1998	36	88.5
1999	36	40
2000	36	84
2001	36	84
2002	36	91
2003	36	87
2004	36	50
2005	36	24
2006	36	76
2007	36	23
2008	36	24
2009	36	14
2010	36	0
2011	36	0
2012	36	0
2013	36	29
2014	36	14
2015	36	14
2016	36	50
2017	36	29
2018	36	0
2019	36	42
2020	36	177
2021	36	70
2022	36	225
1989	35	70
1990	35	70
1991	35	19
1992	35	47
1993	35	47
1994	35	54
1995	35	17
1996	35	56
1997	35	76
1998	35	37
1999	35	77
2000	35	80
2001	35	56
2002	35	71
2003	35	36
2004	35	24
2005	35	35
2006	35	107
2008	35	66
2016	35	70
2019	35	76
2020	35	96
2021	35	81
2022	35	183
2007	35	11
2009	35	14
2010	35	0
2011	35	14
2012	35	14
2013	35	14
2014	35	42
2015	35	11
2017	35	29
2018	35	0
1989	34	17
1990	34	17
1991	34	17
1992	34	37
1993	34	28
1994	34	91
1995	34	37
1996	34	17
1997	34	19
1998	34	30
1999	34	54
2000	34	32
2001	34	11
2002	34	61
2003	34	50
2004	34	22
2005	34	46
2006	34	98
2007	34	13
2008	34	29
2009	34	29
2010	34	14
2012	34	29
2013	34	40
2014	34	37
2016	34	70
2017	34	14
2018	34	29
2019	34	53
2020	34	54
2021	34	39
2022	34	128
2011	34	0
2015	34	0
1989	33	70
1990	33	70
